available_date,ticker,close_used_date,close,shares_outstanding,market_cap_usd
2023-03-30,NVDA,2023-03-30,27.361782,24347000000.0,666177306354.0
2023-03-30,JPM,2023-03-30,121.045013,2749753854.0,332843991004.2301
2023-03-30,JNJ,2023-03-30,141.957336,2408338872.0,341881370454.365
2023-03-30,PG,2023-03-30,138.514618,2340485262.0,324191422000.55994
2023-06-30,AAPL,2023-06-30,191.829468,14840390000.0,2846824118612.52
2023-06-30,MSFT,2023-06-30,334.775482,7433166379.0,2488441857315.92
2023-06-30,GOOGL,2023-06-30,118.880066,5817000000.0,691525343922.0
2023-06-30,AMZN,2023-06-30,130.360001,10664912097.0,1390277951629.8323
2023-06-30,TSLA,2023-06-30,261.769989,3325150886.0,870424710851.5603
2023-06-30,META,2023-06-30,285.414185,2168962480.0,619052658524.7787
2023-06-30,NVDA,2023-06-30,42.273594,24347000000.0,1029235193118.0001
2023-06-30,JPM,2023-06-30,137.809341,2749753854.0,378941766531.9502
2023-06-30,JNJ,2023-06-30,154.298798,2408338872.0,371603793126.2759
2023-06-30,PG,2023-06-30,143.437103,2340485262.0,335712425595.476
2023-07-31,AAPL,2023-07-31,194.282089,14840390000.0,2883221970774.71
2023-07-31,MSFT,2023-07-31,330.233704,7433166379.0,2454682065785.4375
2023-07-31,GOOGL,2023-07-31,131.810883,5817000000.0,766743906411.0
2023-07-31,AMZN,2023-07-31,133.679993,10664912097.0,1425685374472.5752
2023-07-31,TSLA,2023-07-31,267.429993,3325150886.0,889245078166.9238
2023-07-31,META,2023-07-31,316.861694,2168962480.0,687261125635.2411
2023-07-31,NVDA,2023-07-31,46.697624,24347000000.0,1136947051528.0
2023-07-31,JPM,2023-07-31,150.700333,2749753854.0,414388821465.8334
2023-07-31,JNJ,2023-07-31,156.172531,2408338872.0,376116377145.925
2023-07-31,PG,2023-07-31,148.678513,2340485262.0,347979868452.57544
2023-12-30,AAPL,2023-12-28,191.954849,14840390000.0,2848684821551.11
2023-12-30,MSFT,2023-12-28,370.458893,7433166379.0,2753682588249.158
2023-12-30,GOOGL,2023-12-28,139.26944,5817000000.0,810130332480.0
2023-12-30,AMZN,2023-12-28,153.380005,10664912097.0,1635784270762.4207
2023-12-30,TSLA,2023-12-28,253.179993,3325150886.0,841861678041.4238
2023-12-30,META,2023-12-28,356.36496,2168962480.0,772942227426.7008
2023-12-30,NVDA,2023-12-28,49.497181,24347000000.0,1205107865807.0
2023-12-30,JPM,2023-12-28,163.672058,2749753854.0,450057872277.6115
2023-12-30,JNJ,2023-12-28,148.202026,2408338872.0,356920700124.95465
2023-12-30,PG,2023-12-28,139.498871,2340485262.0,326495051641.1392
