date,se,wt,std_wt_24m
2022-12-31,0.10987619598865939,0.3948638667574743,0.014726311802933295
2023-01-31,0.11610276407109736,0.370837891775044,0.014977462673828596
2023-02-28,0.11799536047070336,0.3653897679960428,0.01535274363139626
2023-03-31,0.12019319880650636,0.3590328503414987,0.01636848892133124
2023-04-30,0.12130445181013642,0.35697934891526384,0.017870054364568348
2023-05-31,0.12327039115244018,0.3518734817201264,0.019974294847998782
2023-06-30,0.12436120648695696,0.3501126852109416,0.021857189294992127
2023-07-31,0.12409889465964144,0.35323865073196553,0.023097771534802993
2023-08-31,0.12462357141724482,0.3534495996122503,0.0240175703840587
2023-09-30,0.12483364065178996,0.35476934446684066,0.024751933464955203
2023-10-31,0.12430890498934029,0.35869796500552736,0.025139243802256878
